"Indicador","Ano","UF","Numerador - Obitos em menores de 5 anos estimados","Denominador - Nascidos vivos estimados","Fator"
"MRT.1.05",2014,23,2023.0,131458.0,1000
"MRT.1.05",2014,24,797.0,49305.0,1000
"MRT.1.05",2014,25,978.0,58160.0,1000
"MRT.1.05",2014,26,2276.0,143861.0,1000
"MRT.1.05",2014,27,932.0,53246.0,1000
"MRT.1.05",2014,28,647.0,34610.0,1000
"MRT.1.05",2014,29,4049.0,209147.0,1000
"MRT.1.05",2014,31,3698.0,270755.0,1000
"MRT.1.05",2014,32,774.0,56626.0,1000
"MRT.1.05",2014,33,3465.0,235140.0,1000
"MRT.1.05",2014,35,8144.0,628433.0,1000
"MRT.1.05",2014,41,2060.0,161538.0,1000
"MRT.1.05",2014,42,1110.0,93552.0,1000
"MRT.1.05",2014,43,1763.0,144169.0,1000
"MRT.1.05",2014,50,700.0,44652.0,1000
"MRT.1.05",2014,51,1061.0,57988.0,1000
"MRT.1.05",2014,52,1585.0,101124.0,1000
"MRT.1.05",2014,53,596.0,44919.0,1000
"MRT.1.05",2015,11,452.0,28379.0,1000
"MRT.1.05",2015,12,362.0,17466.0,1000
"MRT.1.05",2015,13,1586.0,84203.0,1000
"MRT.1.05",2015,14,224.0,12018.0,1000
"MRT.1.05",2015,15,2632.0,149741.0,1000
"MRT.1.05",2015,16,335.0,16699.0,1000
"MRT.1.05",2015,17,403.0,26032.0,1000
"MRT.1.05",2015,21,2200.0,122546.0,1000
"MRT.1.05",2015,22,855.0,50009.0,1000
"MRT.1.05",2015,23,1895.0,137854.0,1000
"MRT.1.05",2015,24,795.0,50506.0,1000
"MRT.1.05",2015,25,850.0,60705.0,1000
"MRT.1.05",2015,26,2210.0,148734.0,1000
"MRT.1.05",2015,27,917.0,53887.0,1000
"MRT.1.05",2015,28,626.0,35528.0,1000
"MRT.1.05",2015,29,3711.0,213725.0,1000
"MRT.1.05",2015,31,3611.0,273956.0,1000
"MRT.1.05",2015,32,773.0,58731.0,1000
"MRT.1.05",2015,33,3436.0,239848.0,1000
"MRT.1.05",2015,35,7780.0,635925.0,1000
"MRT.1.05",2015,41,2027.0,162501.0,1000
"MRT.1.05",2015,42,1113.0,97704.0,1000
"MRT.1.05",2015,43,1753.0,149809.0,1000
"MRT.1.05",2015,50,644.0,45142.0,1000
"MRT.1.05",2015,51,998.0,58466.0,1000
"MRT.1.05",2015,52,1446.0,102582.0,1000
"MRT.1.05",2015,53,581.0,46427.0,1000
"MRT.1.05",2016,11,431.0,26887.0,1000
"MRT.1.05",2016,12,319.0,16148.0,1000
"MRT.1.05",2016,13,1542.0,79185.0,1000
"MRT.1.05",2016,14,275.0,12050.0,1000
"MRT.1.05",2016,15,2700.0,141441.0,1000
"MRT.1.05",2016,16,353.0,16222.0,1000
"MRT.1.05",2016,17,372.0,24490.0,1000
"MRT.1.05",2016,21,2053.0,114158.0,1000
"MRT.1.05",2016,22,885.0,47173.0,1000
"MRT.1.05",2016,23,1933.0,129780.0,1000
"MRT.1.05",2016,24,710.0,46403.0,1000
"MRT.1.05",2016,25,862.0,56339.0,1000
"MRT.1.05",2016,26,2157.0,132717.0,1000
"MRT.1.05",2016,27,853.0,49949.0,1000
"MRT.1.05",2016,28,569.0,32427.0,1000
"MRT.1.05",2016,29,3786.0,203656.0,1000
"MRT.1.05",2016,31,3436.0,256197.0,1000
"MRT.1.05",2016,32,766.0,53966.0,1000
"MRT.1.05",2016,33,3474.0,220522.0,1000
"MRT.1.05",2016,35,7714.0,603180.0,1000
"MRT.1.05",2016,41,1954.0,155677.0,1000
"MRT.1.05",2016,42,994.0,95678.0,1000
"MRT.1.05",2016,43,1671.0,141827.0,1000
"MRT.1.05",2016,50,683.0,42903.0,1000
"MRT.1.05",2016,51,935.0,54390.0,1000
"MRT.1.05",2016,52,1454.0,96584.0,1000
"MRT.1.05",2016,53,528.0,43872.0,1000
"MRT.1.05",2017,11,411.0,27595.0,1000
"MRT.1.05",2017,12,290.0,16623.0,1000
"MRT.1.05",2017,13,1599.0,79736.0,1000
"MRT.1.05",2017,14,259.0,12318.0,1000
"MRT.1.05",2017,15,2580.0,141601.0,1000
"MRT.1.05",2017,16,393.0,16104.0,1000
"MRT.1.05",2017,17,376.0,25462.0,1000
"MRT.1.05",2017,21,2189.0,115331.0,1000
"MRT.1.05",2017,22,879.0,48526.0,1000
"MRT.1.05",2017,23,2042.0,130492.0,1000
"MRT.1.05",2017,24,685.0,46831.0,1000
"MRT.1.05",2017,25,886.0,57473.0,1000
"MRT.1.05",2017,26,1977.0,137307.0,1000
"MRT.1.05",2017,27,824.0,51280.0,1000
"MRT.1.05",2017,28,586.0,33917.0,1000
"MRT.1.05",2017,29,3589.0,207086.0,1000
"MRT.1.05",2017,31,3523.0,262891.0,1000
"MRT.1.05",2017,32,714.0,56717.0,1000
"MRT.1.05",2017,33,3248.0,224147.0,1000
"MRT.1.05",2017,35,7707.0,612948.0,1000
"MRT.1.05",2017,41,1884.0,158359.0,1000
"MRT.1.05",2017,42,1130.0,98677.0,1000
"MRT.1.05",2017,43,1701.0,141761.0,1000
"MRT.1.05",2017,50,578.0,45147.0,1000
"MRT.1.05",2017,51,893.0,58202.0,1000
"MRT.1.05",2017,52,1351.0,98371.0,1000
"MRT.1.05",2017,53,578.0,44773.0,1000
"MRT.1.05",2018,11,411.0,28167.0,1000
"MRT.1.05",2018,12,334.0,16864.0,1000
"MRT.1.05",2018,13,1584.0,79624.0,1000
"MRT.1.05",2018,14,331.0,13920.0,1000
"MRT.1.05",2018,15,2571.0,143724.0,1000
"MRT.1.05",2018,16,361.0,16590.0,1000
"MRT.1.05",2018,17,403.0,25967.0,1000
"MRT.1.05",2018,21,2071.0,119221.0,1000
"MRT.1.05",2018,22,871.0,49606.0,1000
"MRT.1.05",2018,23,1941.0,134656.0,1000
"MRT.1.05",2018,24,676.0,48465.0,1000
"MRT.1.05",2018,25,836.0,60383.0,1000
"MRT.1.05",2018,26,2033.0,139914.0,1000
"MRT.1.05",2018,27,791.0,53042.0,1000
"MRT.1.05",2018,28,650.0,34262.0,1000
"MRT.1.05",2018,29,3625.0,207657.0,1000
"MRT.1.05",2018,31,3385.0,264744.0,1000
"MRT.1.05",2018,32,715.0,57206.0,1000
"MRT.1.05",2018,33,3295.0,221401.0,1000
"MRT.1.05",2018,35,7636.0,608457.0,1000
"MRT.1.05",2018,41,1946.0,156789.0,1000
"MRT.1.05",2018,42,1083.0,99919.0,1000
"MRT.1.05",2018,43,1598.0,140174.0,1000
"MRT.1.05",2018,50,604.0,44678.0,1000
